Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 0's token_index 346
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 1's token_index 279
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 2's token_index 513
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 3's token_index 89
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 4's token_index 146
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 5's token_index 485
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 6's token_index 263
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 7's token_index 411
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 8's token_index 449
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 9's token_index 95
Sat 27 May 2017 11:09:54 API.py [line:546] INFO 200 statuses/filter text thread 10's token_index 91
Sat 27 May 2017 11:12:57 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 90919349224865792L, u'id_str': u'90919349224865792'}, u'timestamp_ms': u'1495854754390'}}
Sat 27 May 2017 11:13:02 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'2759600352', u'user_id': 2759600352L, u'id': 868298703773224960L, u'id_str': u'868298703773224960'}, u'timestamp_ms': u'1495854779030'}}
Sat 27 May 2017 11:13:02 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 90925870956552193L, u'id_str': u'90925870956552193'}, u'timestamp_ms': u'1495854757288'}}
Sat 27 May 2017 11:13:03 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'2759600352', u'user_id': 2759600352L, u'id': 868298700845490181L, u'id_str': u'868298700845490181'}, u'timestamp_ms': u'1495854779470'}}
Sat 27 May 2017 11:13:04 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 92761971354640384L, u'id_str': u'92761971354640384'}, u'timestamp_ms': u'1495854760421'}}
Sat 27 May 2017 11:13:04 TwitterError.py [line:22] WARNING 400 statuses/filter text HTTPSConnectionPool(host='stream.twitter.com', port=443): Read timed out.
Sat 27 May 2017 11:13:04 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'2759600352', u'user_id': 2759600352L, u'id': 868298697779499008L, u'id_str': u'868298697779499008'}, u'timestamp_ms': u'1495854780012'}}
Sat 27 May 2017 11:13:09 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 93413574025805824L, u'id_str': u'93413574025805824'}, u'timestamp_ms': u'1495854768079'}}
Sat 27 May 2017 11:13:16 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'4705502727', u'user_id': 4705502727L, u'id': 865595301804916737L, u'id_str': u'865595301804916737'}, u'timestamp_ms': u'1495854792608'}}
Sat 27 May 2017 11:13:17 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'4705502727', u'user_id': 4705502727L, u'id': 865703622016991233L, u'id_str': u'865703622016991233'}, u'timestamp_ms': u'1495854793359'}}
Sat 27 May 2017 11:13:19 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 90625237594550272L, u'id_str': u'90625237594550272'}, u'timestamp_ms': u'1495854773173'}}
Sat 27 May 2017 11:13:22 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'99034378', u'user_id': 99034378, u'id': 96273040727478272L, u'id_str': u'96273040727478272'}, u'timestamp_ms': u'1495854776542'}}
